# Модель: gigachat3.1-10b-a1.8b
# Путь: D:\TEST_AI
# Среднее время ответа модели: 6.570 с
# Общее время ответов: 2772.554 с
# Минимальное время: 0.787 с
# Максимальное время: 14.811 с
# Количество обработанных файлов: 429
# Дата: 2026-03-31 16:58:55

Путь	Результат	Время_ответа_с
D:\TEST_AI\63441\3 Заявление\ЛК-МО-63441 Заявление.pdf	"Документация: Заявление; Раздел: общие сведения; Заказчик: ООО ""МАКСИМУМ""; Исполнитель: нет; Проект: нет; Объект: государственная экспертиза проектной документации и результатов инженерных изысканий, включающая проверку достоверности определения сметной стоимости объекта капитального строительства"	4.251
D:\TEST_AI\63441\4-1-05-5 Сети связи\2025-304.ПД-СПС.СОУЭ.2.pdf	"Документация: Проектная документация; Раздел: ""Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения""; Заказчик: Государственное бюджетное учреждение здравоохранения Московской области “Подольская областная клиническая больница”; Исполнитель: не указан; Проект: 2025-304.ПД-СПС.С093.2; Объект: Московская область, г. Подольск, мкр. Львовский, Больничный проезд, 0, 4а, стр. 3"	6.417
D:\TEST_AI\63441\4-1-12-1 Пояс. зап. к сметн. док\Подписанный ИУЛ.pdf	"Документация: ИУЛ; Раздел: ; Заказчик: Государственное бюджетное учреждение здравоохранения Московской области ""Подольская областная клиническая больница""; Исполнитель: ; Проект: МО5 ""последнего файла""; Объект: поликлиника по адресу: Московская область, г. о. Подольск, мкр. Львовский, Больничный проезд, д. 4а"	6.400
D:\TEST_AI\63441\4-3-03 Программа ИИ\Отчетная техническая документация Стр.3 (подписана).pdf	Документация: Отчетная техническая документация; Раздел: Обследования систем противопожарной защиты; Заказчик: ГКУ МО «ДЕЗ по ремонтным работам»; Исполнитель: Государственное бюджетное учреждение здравоохранения Московской области “Подольская областная клиническая больница”, поликлиника; Проект: 2025-304.0ТД2; Объект: Московская область, г. Подольск, мкр. Львовский, Больничный проезд, 0, да, стр. 3.	6.705
D:\TEST_AI\63441\4-3-08 Полномочия заявителя\Доверенность.pdf	Документация: Доверенность; Раздел: представительство по проверке сметной стоимости; Заказчик: ГКУ МО «ДЕЗ по ремонтным работам»; Исполнитель: ООО «МАКСИМУМ»; Проект: № 0848500004125000092; Объект: текущий ремонт зданий, строений, сооружений и благоустройство территорий Московской области.	6.744
D:\TEST_AI\63457\3 Заявление\ЛК-МО-63457 Заявление.pdf	"Документация: Заявление; Раздел: общие сведения; Заказчик: ООО ""ТРИУМФ""; Исполнитель: Государственный автономное учреждение Московской области ""Московская областная государственная экспертиза""; Проект: ЛК-МО-63457; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест."	5.304
D:\TEST_AI\63457\4-1-02 Схема организации участка\Раздел ПД №2 ПЗУ.pdf	"Документация: Проектная документация; Раздел: Схема планировочной организации земельного участка; Заказчик: Архитектурно-конструкторское бюро ""ГОРОД""; Исполнитель: Ассоциация проектировщиков ""СтройАльянсПроект""; Проект: 04-ПД/2025-ПЗУ; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	7.188
D:\TEST_AI\63457\4-1-03 Архитектурные решения\Раздел ПД №3 АР (Приложение_1) (2).pdf	"Документация: Проектная документация; Раздел: Расчет КЕО; Заказчик: Ассоциация проектировщиков ""СтройАльянсПроект""; Исполнитель: Архитектурно-конструкторское бюро ""ГОРОД""; Проект: 04-ПД/2025-РР; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	6.879
D:\TEST_AI\63457\4-1-03 Архитектурные решения\Раздел ПД №3 АР (Приложение_1).pdf	"Документация: Проектная документация; Раздел: Расчет КЕО; Заказчик: Ассоциация проектировщиков ""СтройАльянсПроект""; Исполнитель: Архитектурно-конструкторское бюро ""ГОРОД""; Проект: 04-ПД/2025-РР; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	6.312
D:\TEST_AI\63457\4-1-03 Архитектурные решения\Раздел ПД №3 АР (Приложение_2).pdf	"Документация: Проектная документация; Раздел: Расчет инсоляции; Заказчик: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский; Исполнитель: Ассоциации проектировщиков ""СтройАльянсПроект""; Проект: 04-ПД/2025-РР; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	8.516
D:\TEST_AI\63457\4-1-03 Архитектурные решения\Раздел ПД №3 АР.pdf	"Документация: Проектная документация; Раздел: Объемно-планировочные и архитектурные решения; Заказчик: Общество с ограниченной ответственностью Архитектурно-конструкторское бюро ""ГОРОД""; Исполнитель: Ассоциации проектировщиков ""СтройАльянсПроект""; Проект: 04-ПД/2025-АР; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	7.311
D:\TEST_AI\63457\4-1-04 Конструктивные реш-я\Раздел ПД №4 КР.pdf	"Документация: Проектная документация; Раздел: Конструктивные решения; Заказчик: Архитектурно-конструкторское бюро ""ГОРОД""; Исполнитель: ; Проект: 04-ПД/2025-КР; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	6.181
D:\TEST_AI\63457\4-1-05-1 Система электроснабж\Раздел ПД №5 Подраздел ПД №5.1 ИОС1.1.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения; Заказчик: Общество с ограниченной ответственностью ""АРХИТЕКТУРНО-КОНСТРУКТОРСКОЕ БЮРО ""ГОРОД""""; Исполнитель: Ассоциация проектировщиков ""СтройАльянсПроект""; Проект: 04-1Д/2025-ИОСТ.1; Объект: Воспитательно-образовательный комплекс в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	9.207
D:\TEST_AI\63457\4-1-05-1 Система электроснабж\Раздел ПД №5 Подраздел ПД №5.1 ИОС1.2.pdf	"ОШИБКА: OCR API error: 500, {""detail"":""Ошибка обработки PDF: Image size (248012625 pixels) exceeds limit of 178956970 pixels, could be decompression bomb DOS attack.""}"	N/A
D:\TEST_AI\63457\4-1-05-2 Система водоснабжения\Раздел ПД №5 Подраздел ПД №5.2 ИОС2.1.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения; Заказчик: Общество с ограниченной ответственностью Архитектурно-конструкторское бюро ""Город""; Исполнитель: Ассоциация проектировщиков ""СтройАльянсПроект""; Проект: 04-1Д/2025-ИОС2.1; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	7.984
D:\TEST_AI\63457\4-1-05-2 Система водоснабжения\Раздел ПД №5 Подраздел ПД №5.2 ИОС2.2.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения; Заказчик: ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АРХИТЕКТУРНО- КОНСТРУКТОРСКОЕ БЮРО ""ГОРОД""; Исполнитель: Ассоциация проектировщиков ""СтройАльянсПроект""; Проект: 04-ПД/2025-ИОС2.2; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	9.853
D:\TEST_AI\63457\4-1-05-3 Система водоотведения\Раздел ПД №5 Подраздел ПД №5.3 ИОС3.1.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях инженерно-технического обеспечения; Заказчик: Общество с ограниченной ответственностью Архитектурно-конструкторское бюро ""Город""; Исполнитель: ; Проект: 04-1Д/2025-ИОСЗ.1; Объект: ВОК в составе СОШ на 1500 мест и ДОУ на 200 мест по адресу: Московская область, г. о. Люберцы, р. п. Октябрьский"	7.619
