# Модель: gigachat3.1-10b-a1.8b
# Путь: D:\TEST_AI1
# Среднее время ответа модели: 7.215 с
# Общее время ответов: 389.620 с
# Минимальное время: 1.743 с
# Максимальное время: 10.526 с
# Количество обработанных файлов: 54
# Дата: 2026-03-31 17:19:13

Путь	Результат	Время_ответа_с
D:\TEST_AI1\63637\2 Договорные документы\Договор №ТР.СК.0809-25 от 08.09.2025 г..pdf	Документация: Договор; Раздел: предмет договора; Заказчик: Общество с ограниченной ответственностью «Компания ТОР»; Исполнитель: Общество с ограниченной ответственностью «СИСТЕМ «Компания»; Проект: Договор №ТР/СК/0809-25; Объект: МБОУ г. Ивантеевка «Гимназия №3» (Корпус 2 - дошкольное отделение «Ручеёк»), Московская область, г. Ивантеевка, ул. Богданова, д. 1.	8.068
D:\TEST_AI1\63637\3 Заявление\Заявление в экспертизу.pdf	"Документация: Заявление; Раздел: Заявление о проведении государственной экспертизы проектной документации; Заказчик: МБОУ г. Ивантеевка ""Гимназия №3""; Исполнитель: ООО «Компания ТОР»; Проект: не указан; Объект: Выполнение работ по капитальному ремонту с поставкой оборудования, необходимого для обеспечения эксплуатации такого объекта: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк"")"	7.827
D:\TEST_AI1\63637\3 Заявление\ЛК-МО-63637 Заявление.pdf	"Документация: Заявление; Раздел: нет; Заказчик: ООО ""КОМПАНИЯ ТОР""; Исполнитель: нет; Проект: ЛК-МО-63637; Объект: нет;"	3.880
D:\TEST_AI1\63637\4-1-02 Схема организации участка\Раздел ПД№2 ТР-СК-0809-25-ПЗУ.pdf	"Документация: Проектная документация; Раздел: Раздел 2. Схема планировочной организации земельного участка; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/809-25-ПЗУ; Объект: МБОУ ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	7.636
D:\TEST_AI1\63637\4-1-03 Архитектурные решения\Раздел ПД№3 ТР-СК-0809-25-АР.pdf	"Документация: Проектная документация; Раздел: Раздел 3. Объемно-планировочные и архитектурные решения; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/809-25-АР; Объект: МБОУ ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	7.790
D:\TEST_AI1\63637\4-1-03 Архитектурные решения\Раздел ПД№3 ТР-СК-0809-25-АР.С.pdf	"Документация: Проектная документация; Раздел: Объемно-планировочные и архитектурные решения. Ведомости и спецификации; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-АР.С; Объект: МБОУ ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	7.714
D:\TEST_AI1\63637\4-1-04 Конструктивные реш-я\Раздел ПД№4 ТР-СК-0809-25-КР.pdf	"Документация: Проектная документация; Раздел: Раздел 4. Конструктивные решения; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-КР; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	7.610
D:\TEST_AI1\63637\4-1-04 Конструктивные реш-я\Раздел ПД№4 ТР-СК-0809-25-КР.С.pdf	"Документация: Проектная документация; Раздел: Конструктивные решения. Ведомости и спецификации; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-КР.С; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	8.051
D:\TEST_AI1\63637\4-1-05-1 Система электроснабж\Раздел ПД№5 Подраздел ПД№1 ТР-СК-0809-25-ИОС1.1 Часть 1.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-ИОС1.1; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	8.627
D:\TEST_AI1\63637\4-1-05-1 Система электроснабж\Раздел ПД№5 Подраздел ПД№1 ТР-СК-0809-25-ИОС1.2 Часть 2.pdf	"Документация: Проектная документация; Раздел: Сведения об инженерном оборудовании, о сетях и системах инженерно-технического обеспечения; Заказчик: Государственное казённое учреждение Московской области ""Дирекция заказчика капитального строительства""; Исполнитель: ООО «Компания ТОР»; Проект: ТР/СК/0809-25-ИОС1.2; Объект: МБОУ г. Ивантеевка ""Гимназия №3"" (Корпус 2 - дошкольное отделение ""Ручеёк""), Московская область, г. Ивантеевка, ул. Богданова, д. 1."	8.688
