# Модель: meta-llama-3.3-70b-instruct-model-hadith
# Количество обработанных файлов: 21 (текстовые документы)
# СКАНИРОВАННЫЕ ДОКУМЕНТЫ (удалены из списка, так как не имеют текстового слоя):
# - Анализ пакета 4 / Доверенность.pdf
# - Анализ пакета 4 / Акт приема-передачи ПД (2).pdf
# - Анализ пакета 2 / ГПЗУ 2025.pdf
# - Анализ пакета 2 / Программа ИГДИ.pdf
#
# Среднее время ответа: 120.152 с
# Дата: 2026-04-03 10:38:02
начало
Путь	Результат	Время_ответа_с
Анализ пакета 1 / Раздел ПД1-ПЗ (7).xml	"Вид документа: Проектная документация; Название / Заголовок: Раздел ПД1-ПЗ (7); Заказчик: ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСРЕГИОНПРОЕКТ"" 1135053000675; Разработчик / Исполнитель: Лагуточкин Андрей Вячеславович; Год: 2025; Тип документа: Проектная документация в формате XML; Содержание / Краткое содержание: - Сведения об объекте - Требования к обеспечению безопасности и безвредности для человека факторов среды обитания - Санитарно-эпидемиологические требования к организациям воспитания и обучения, отдыха и оздоровления детей и молодежи - Правила коммерческого учета тепловой энергии, теплоносителя - Требования пожарной безопасности - Гигиенические нормативы и требования к обеспечению безопасности и (или) безвредности для человека факторов среды обитания; Цель / Назначение: Разработка проектной документации для строительства объекта"	125.889
Анализ пакета 1 / Раздел ПД3-АР.pdf	Вид документа: Проектная документация; Название / Заголовок: МБОУ СОШ на 1100 мест по адресу: Московская область, г.о. Королев, ЖК «Золотые ворота», шифр 157/25-АР; Заказчик: АО «Автобытдор»; Разработчик / Исполнитель: ООО «Мосрегионпроект»; Год: 2025; Тип документа: Проектная документация (PDF); Содержание / Краткое содержание: - Архитектурные решения - Объемно-планировочные решения - Описание и обоснование внешнего и внутреннего вида объекта капитального строительства - Обоснование принятых объемно-пространственных и архитектурно-художественных решений - Перечень мероприятий по обеспечению соблюдения установленных требований энергетической эффективности; Цель / Назначение: Разработка проектной документации для строительства школы на 1100 мест в г.о. Королев Московской области	158.04
Анализ пакета 1 / Раздел ПД4-КР.pdf	Вид документа: ПРОЕКТНАЯ ДОКУМЕНТАЦИЯ; Название / Заголовок: Раздел ПД4-КР: Конструктивные решения МБОУ СОШ на 1100 мест, ЖК «Золотые ворота»; Заказчик: ГКУ МО «Дирекция заказчика капитального строительства»; Разработчик / Исполнитель: ООО «Мосрегионпроект»; Год: 2025; Тип документа: Техническая документация (PDF); Содержание / Краткое содержание: - Сведения о топографических, инженерно-геологических, гидрогеологических, метеорологических и климатических условиях земельного участка - Описание и обоснование конструктивных решений зданий и сооружений - Описание технических решений, обеспечивающих необходимую прочность, устойчивость, пространственную неизменяемость зданий и сооружений - Обоснование проектных решений и мероприятий, обеспечивающих соблюдение требуемых теплозащитных характеристик ограждающих конструкций; Цель / Назначение: Разработка проектной документации для строительства МБОУ СОШ на 1100 мест в ЖК «Золотые ворота»	117.36
Анализ пакета 1 / ТЗ.xml	Вид документа: Техническое задание; Название / Заголовок: Техническое задание на выполнение работ по подготовке проектной и разработке рабочей документации для объекта: МБОУ СОШ на 1100 мест: Московская область, г.о.Королев, ЖК «Золотые ворота»; Заказчик: ГКУ МО «Дирекция заказчика капитального строительства» (ГКУ МО «ДЗКС»); Разработчик / Исполнитель: ООО «Мосрегионпроект», г. Электросталь; Год: 2025; Тип документа: Структурированный XML-документ (техническое задание); Содержание / Краткое содержание: - Цели и задачи: выполнение инженерных изысканий, разработка ПД и РД, строительство объекта - Источники финансирования: бюджет субъекта РФ (100%) - Требования к разделам проектной документации (в соответствии с Постановлением №87) - Требования к инженерным системам (отопление, вентиляция, водоснабжение, электроснабжение, связь, пожарная безопасность, «Безопасный регион») - Требования к энергоэффективности (класс энергосбережения «В») - Требования к информационной модели (ЦИМ) в формате IFC - Порядок формирования сметной документации (ресурсно-индексный метод, XML); Цель / Назначение: Определить объём, состав, требования и порядок выполнения работ по проектированию, инженерным изысканиям и строительству, чтобы обеспечить создание объекта, соответствующего законодательству, техническим регламентам и потребностям заказчика. Документ является обязательным для всех участников проектно-строительного процесса.	139.656
Анализ пакета 2 / Выписка ЕГРН 50_45_0000000_63391.pdf	Вид документа: Выписка из ЕГРН; Название / Заголовок: Выписка из Единого государственного реестра недвижимости об объекте недвижимости 50:45:0000000:63391; Заказчик: Федеральная служба государственной регистрации, кадастра и картографии (собственник); Разработчик / Исполнитель: Филиал публично-правовой компании Роскадастр по Московской области (орган, выдавший выписку); Год: 2025 (дата выписки: 21.04.2025); Тип документа: Официальная выписка из реестра недвижимости (PDF); Содержание / Краткое содержание: - Кадастровый номер участка: 50:45:0000000:63391 - Площадь: 29 253 м² ± 60 м² - Категория земель: Земли населённых пунктов - Вид разрешённого использования: Земельные участки (территории) общего пользования - Правообладатель: Федеральная служба государственной регистрации, кадастра и картографии (собственность) - Графическое описание границ участка (план, схема) - Координаты характерных точек границ в системе МСК-50 - Сведения об обременениях и ограничениях: отсутствуют; Цель / Назначение: Подтверждение правового статуса земельного участка, его границ, площади и наличия обременений для использования в проектировании и строительстве объектов недвижимости. Документ является обязательным исходным материалом для разработки проектной документации.	109.115
Анализ пакета 2 / Доверенность от ДЗКС на МРП.pdf	Вид документа: Доверенность; Название / Заголовок: Доверенность от ДЗКС на МРП; Заказчик: Государственное казенное учреждение Московской области «Дирекция заказчика капитального строительства» (ГКУ МО «ДЗКС»); Разработчик / Исполнитель: ООО «Высота»; Год: 2025 (13 октября 2025 г.); Тип документа: Официальная доверенность (PDF); Содержание / Краткое содержание: - Полномочия: выступать заявителем при обращении - Объект: МБОУ СОШ на 1100 мест в г.о. Королёв, ЖК «Золотые ворота» - Права: направлять доверенность - Срок действия: не указан; Цель / Назначение: Уполномочить ООО «Высота» взаимодействовать с заказчиком	120.647
Анализ пакета 2 / ТЗ на ИГИ.pdf	Вид документа: Техническое задание; Название / Заголовок: Техническое задание на выполнение инженерно-геологических изысканий на объекте: МБОУ СОШ на 1100 мест: Московская область, г. о. Королев, ЖК «Золотые ворота»; Заказчик: ООО «Высота»; Разработчик / Исполнитель: ООО «Главгеоком»; Год: 2025; Тип документа: Техническое задание (PDF); Содержание / Краткое содержание: - Цель: получение материалов для разработки проектной документации - Характеристики объекта: школа на 1100 мест, габариты 114,5×88,0 м, монолитный каркас, фундаментная плита до 3,0 м - Нагрузка на фундамент: до 15 т/м², глубина сжимаемой толщи 15 м - Состав работ: инженерно-геологические изыскания в полном объёме - Нормативная база: СП 47.13330.2016, СП 11-105-97, СП 22.13330.2016, ГОСТ 25100-2020 и др. - Дополнительные требования: прогноз изменения гидрогеологических условий, выявление опасных процессов - Форма представления результатов: технический отчёт (3 бумажных + 1 электронный экз.) в формате PDF с возможностью копирования текста; Цель / Назначение: Определение объёма, состава, методов и требований к инженерно-геологическим изысканиям для обеспечения проектной документации достоверными данными о грунтах, гидрогеологических условиях и геологических процессах.	124.377
Анализ пакета 2 / Технические условия для присоединения к электрическим сетям.pdf	"Вид документа: Технические условия; Название / Заголовок: Технические условия для присоединения к электрическим сетям № 2509788/Р/1/МТ; Заказчик: Государственное казенное учреждение Московской области ""Дирекция заказчика капитального строительства""; Разработчик / Исполнитель: АО ""Мособлэнерго""; Год: 2023 (дата в документе не указана, номер заявки 2509788); Тип документа: Технические условия (PDF); Содержание / Краткое содержание: - Максимальная мощность: 395 кВт - Категория надежности: I-я − 0 кВт; II-я − 395 кВт; III-я − 0 кВт - Класс напряжения: 0,4 кВ - Точка присоединения: РУ-0,4 кВ РТП-4 - Основной источник питания: ПС-257 ""Хвойная"", РУ-10 кВ, ЛЭП-10 кВ, ф.54, РТП-9, ЛЭП-10 кВ, РТП-4 - Резервный источник питания: ПС-257 ""Хвойная"", РУ-10 кВ, ЛЭП-10 кВ, ф.55, РТП-9, ЛЭП-10 кВ, РТП-4; Цель / Назначение: Определение условий подключения объекта к электрическим сетям: мощность, категория надёжности, точка присоединения, перечень мероприятий для проектирования и строительства сетей электроснабжения."	144.177
Анализ пакета 4 / MUP__ESKKh_Zarayskogo__rayona__-_2025-12-11T084254.057.pdf	Вид документа: Технические условия; Название / Заголовок: Технические условия подключения объекта капитального строительства к сетям инженерно-технического обеспечения МУП ЕСКХ Зарайского района 452В/25; Заказчик: АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОКРУГА ЗАРАЙСК МОСКОВСКОЙ ОБЛАСТИ; Разработчик / Исполнитель: МУП ЕСКХ Зарайского района; Год: 2025; Тип документа: Официальная выписка PDF; Содержание / Краткое содержание: - Номер ТУ: 452В/25 - Дата выдачи ТУ: 11-12-2025 - Срок действия ТУ: 3 года - Срок подключения объекта капитального строительства: 18 месяцев с момента заключения договора; Цель / Назначение: Для подключения объекта капитального строительства к сетям инженерно-технического обеспечения	108.131
Анализ пакета 4 / ГПЗУ_Администрация_го_Зарайск_МО_1120.pdf	Вид документа: ГПЗУ; Название / Заголовок: Градостроительный план земельного участка № РФ-50-3-53-0-00-2024-26767-0; Заказчик: Администрация городского округа Зарайск Московской области; Разработчик / Исполнитель: Комитет по архитектуре и градостроительству Московской области; Год: 2024 г. (03.06.2024); Тип документа: Градостроительный план (текстовая и графическая части); Содержание / Краткое содержание: - Кадастровый номер участка: 50:38:0071006:1120, площадь 27 626 м² - Местоположение: Московская область, г.о. Зарайск, г. Зарайск, ул. Московская - Территориальная зона: Ж-1 (зона многоквартирной жилой застройки) - Виды разрешённого использования: основные – малоэтажная многоквартирная жилая застройка (2.1.1), блокированная жилая застройка, среднеэтажная жилая застройка и др. - Предельные параметры застройки: максимальный процент застройки 44,1% для 3-этажных домов, минимальные отступы 3 м, предельная этажность – не более 3 (для среднеэтажной – только эксплуатация) - Чертеж градостроительного плана с отображением границ участка и красных линий (не утверждены) - Информация о возможности подключения к инженерным сетям (приведены в приложениях); Цель / Назначение: Предоставить регламент использования земельного участка и предельные параметры разрешённого строительства для разработки проектной документации многоквартирного жилого дома.	152.329
